,연료원,전력거래량,Year,Month,Day
403,태양광,77,2021,3,22
404,폐기물,483,2021,3,22
405,LNG,8921,2021,3,23
406,바이오,89,2021,3,23
407,연료전지,1272,2021,3,23
408,태양광,71,2021,3,23
409,폐기물,528,2021,3,23
410,LNG,9064,2021,3,24
411,바이오,102,2021,3,24
412,연료전지,1272,2021,3,24
413,태양광,66,2021,3,24
414,폐기물,533,2021,3,24
415,LNG,8982,2021,3,25
416,바이오,102,2021,3,25
417,연료전지,1236,2021,3,25
418,태양광,71,2021,3,25
419,폐기물,483,2021,3,25
420,LNG,8919,2021,3,26
421,바이오,101,2021,3,26
422,연료전지,1227,2021,3,26
423,태양광,55,2021,3,26
424,폐기물,418,2021,3,26
425,LNG,8899,2021,3,27
426,바이오,102,2021,3,27
427,연료전지,1247,2021,3,27
428,태양광,11,2021,3,27
429,폐기물,535,2021,3,27
430,LNG,8913,2021,3,28
431,바이오,102,2021,3,28
432,연료전지,1246,2021,3,28
433,태양광,7,2021,3,28
434,폐기물,544,2021,3,28
435,LNG,8768,2021,3,29
436,바이오,102,2021,3,29
437,연료전지,1248,2021,3,29
438,태양광,60,2021,3,29
439,폐기물,502,2021,3,29
440,LNG,9012,2021,3,30
441,바이오,102,2021,3,30
442,연료전지,1275,2021,3,30
443,태양광,78,2021,3,30
444,폐기물,474,2021,3,30
445,LNG,8929,2021,3,31
446,바이오,102,2021,3,31
447,연료전지,1275,2021,3,31
448,태양광,74,2021,3,31
449,폐기물,390,2021,3,31
450,LNG,8640,2021,4,1
451,바이오,102,2021,4,1
452,연료전지,1276,2021,4,1
453,태양광,64,2021,4,1
454,폐기물,500,2021,4,1
455,LNG,8507,2021,4,2
456,바이오,97,2021,4,2
457,연료전지,1277,2021,4,2
458,태양광,45,2021,4,2
459,폐기물,532,2021,4,2
460,LNG,8476,2021,4,3
461,바이오,102,2021,4,3
462,연료전지,1273,2021,4,3
463,태양광,4,2021,4,3
464,폐기물,538,2021,4,3
465,LNG,8740,2021,4,4
466,바이오,102,2021,4,4
467,연료전지,1270,2021,4,4
468,태양광,52,2021,4,4
469,폐기물,542,2021,4,4
470,LNG,8745,2021,4,5
471,바이오,102,2021,4,5
472,연료전지,1270,2021,4,5
473,태양광,83,2021,4,5
474,폐기물,532,2021,4,5
475,LNG,8552,2021,4,6
476,바이오,102,2021,4,6
477,연료전지,1259,2021,4,6
478,태양광,75,2021,4,6
479,폐기물,529,2021,4,6
480,LNG,8614,2021,4,7
481,바이오,99,2021,4,7
482,연료전지,1267,2021,4,7
483,태양광,77,2021,4,7
484,폐기물,543,2021,4,7
485,LNG,8886,2021,4,8
486,바이오,102,2021,4,8
487,연료전지,1266,2021,4,8
488,태양광,82,2021,4,8
489,폐기물,547,2021,4,8
490,LNG,9096,2021,4,9
491,바이오,102,2021,4,9
492,연료전지,1288,2021,4,9
493,태양광,80,2021,4,9
494,폐기물,533,2021,4,9
495,LNG,11653,2021,4,10
496,바이오,102,2021,4,10
497,연료전지,1288,2021,4,10
498,태양광,74,2021,4,10
499,폐기물,525,2021,4,10
500,LNG,11627,2021,4,11
501,바이오,102,2021,4,11
502,연료전지,1280,2021,4,11
503,태양광,70,2021,4,11
504,폐기물,522,2021,4,11
505,LNG,12118,2021,4,12
506,바이오,102,2021,4,12
507,연료전지,1261,2021,4,12
508,태양광,17,2021,4,12
509,폐기물,478,2021,4,12
510,LNG,13991,2021,4,13
511,바이오,102,2021,4,13
512,연료전지,1278,2021,4,13
513,태양광,54,2021,4,13
514,폐기물,340,2021,4,13
515,LNG,16529,2021,4,14
516,바이오,102,2021,4,14
517,연료전지,1281,2021,4,14
518,태양광,86,2021,4,14
519,폐기물,393,2021,4,14
520,LNG,16961,2021,4,15
521,바이오,102,2021,4,15
522,연료전지,1274,2021,4,15
523,태양광,77,2021,4,15
524,폐기물,482,2021,4,15
525,LNG,16712,2021,4,16
526,바이오,102,2021,4,16
527,연료전지,1289,2021,4,16
528,태양광,27,2021,4,16
529,폐기물,474,2021,4,16
530,LNG,15497,2021,4,17
531,바이오,102,2021,4,17
532,연료전지,1289,2021,4,17
533,태양광,45,2021,4,17
534,폐기물,481,2021,4,17
535,LNG,9268,2021,4,18
536,바이오,102,2021,4,18
537,연료전지,1277,2021,4,18
538,태양광,81,2021,4,18
539,폐기물,350,2021,4,18
540,LNG,15882,2021,4,19
541,바이오,102,2021,4,19
542,연료전지,1268,2021,4,19
543,태양광,77,2021,4,19
544,폐기물,350,2021,4,19
545,LNG,16347,2021,4,20
546,바이오,102,2021,4,20
547,연료전지,1275,2021,4,20
548,태양광,72,2021,4,20
549,폐기물,353,2021,4,20
550,LNG,15854,2021,4,21
551,바이오,101,2021,4,21
552,연료전지,1284,2021,4,21
553,태양광,71,2021,4,21
554,폐기물,348,2021,4,21
555,LNG,15586,2021,4,22
556,바이오,101,2021,4,22
557,연료전지,1278,2021,4,22
558,태양광,43,2021,4,22
559,폐기물,342,2021,4,22
560,LNG,15448,2021,4,23
561,바이오,101,2021,4,23
562,연료전지,1281,2021,4,23
563,태양광,23,2021,4,23
564,폐기물,342,2021,4,23
565,LNG,7492,2021,4,24
566,바이오,101,2021,4,24
567,연료전지,1282,2021,4,24
568,태양광,37,2021,4,24
569,폐기물,233,2021,4,24
570,LNG,6882,2021,4,25
571,바이오,101,2021,4,25
572,연료전지,1283,2021,4,25
573,태양광,69,2021,4,25
574,폐기물,190,2021,4,25
575,LNG,7503,2021,4,26
576,바이오,101,2021,4,26
577,연료전지,1273,2021,4,26
578,태양광,55,2021,4,26
579,폐기물,199,2021,4,26
580,LNG,7708,2021,4,27
581,바이오,95,2021,4,27
582,연료전지,1272,2021,4,27
583,태양광,28,2021,4,27
584,폐기물,177,2021,4,27
585,LNG,14190,2021,4,28
586,바이오,101,2021,4,28
587,연료전지,1277,2021,4,28
588,태양광,48,2021,4,28
589,폐기물,163,2021,4,28
590,LNG,16364,2021,4,29
591,바이오,101,2021,4,29
592,연료전지,1283,2021,4,29
593,태양광,47,2021,4,29
594,폐기물,162,2021,4,29
595,LNG,16073,2021,4,30
596,바이오,101,2021,4,30
597,연료전지,1283,2021,4,30
598,태양광,27,2021,4,30
599,폐기물,132,2021,4,30
600,LNG,14597,2021,5,1
601,바이오,101,2021,5,1
602,연료전지,1283,2021,5,1
603,태양광,35,2021,5,1
604,폐기물,90,2021,5,1
605,LNG,14303,2021,5,2
606,바이오,96,2021,5,2
607,연료전지,1283,2021,5,2
608,태양광,78,2021,5,2
609,폐기물,89,2021,5,2
610,LNG,14943,2021,5,3
611,바이오,96,2021,5,3
612,연료전지,1282,2021,5,3
613,태양광,77,2021,5,3
614,폐기물,89,2021,5,3
615,LNG,16055,2021,5,4
616,바이오,101,2021,5,4
617,연료전지,1282,2021,5,4
618,태양광,11,2021,5,4
619,폐기물,91,2021,5,4
620,LNG,14524,2021,5,5
621,바이오,97,2021,5,5
622,연료전지,1282,2021,5,5
623,태양광,77,2021,5,5
624,폐기물,87,2021,5,5
625,LNG,15523,2021,5,6
626,바이오,91,2021,5,6
627,연료전지,1267,2021,5,6
628,태양광,67,2021,5,6
629,폐기물,87,2021,5,6
630,LNG,14884,2021,5,7
631,바이오,93,2021,5,7
632,연료전지,1253,2021,5,7
633,태양광,52,2021,5,7
634,폐기물,84,2021,5,7
635,LNG,14495,2021,5,8
636,바이오,101,2021,5,8
637,연료전지,1260,2021,5,8
638,태양광,66,2021,5,8
639,폐기물,45,2021,5,8
640,LNG,14243,2021,5,9
641,바이오,101,2021,5,9
642,연료전지,1262,2021,5,9
643,태양광,82,2021,5,9
644,폐기물,0,2021,5,9
645,LNG,15683,2021,5,10
646,바이오,94,2021,5,10
647,연료전지,1264,2021,5,10
648,태양광,13,2021,5,10
649,폐기물,0,2021,5,10
650,LNG,15327,2021,5,11
651,바이오,101,2021,5,11
652,연료전지,1254,2021,5,11
653,태양광,76,2021,5,11
654,폐기물,0,2021,5,11
